		 data/config/SS-D.csv 		
#
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.13,  0.43,  * -------          |                   ,  0.00,  4.47
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.14,  0.50,  *  ------          |                   ,  0.00,  4.98
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.14,  0.45,  * -------          |                   ,  0.00,  4.98
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.15,  0.53,  *  ------          |                   ,  0.00,  3.39
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.15,  0.53,  *  ------          |                   ,  0.00,  3.64
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.15,  0.69,  *   -----          |                   ,  0.00,  3.45
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.15,  0.59,  *  ------          |                   ,  0.00,  3.43
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.16,  0.49,  *  ------          |                   ,  0.00,  4.71
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.16,  0.52,  *  ------          |                   ,  0.00,  4.27
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.17,  0.65,  *   -----          |                   ,  0.00,  3.98
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.17,  0.62,  *   -----          |                   ,  0.00,  3.50
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.18,  0.60,  *   -----          |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.18,  0.55,  *  ------          |                   ,  0.00,  4.12
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.20,  0.64,  *   ------         |                   ,  0.00,  4.98
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.23,  0.74,  *    ----          |                   ,  0.00,  3.92
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.25,  0.77,   *   ----          |                   ,  0.00,  3.82
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.26,  0.73,   *   ----          |                   ,  0.00,  3.49
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.26,  0.76,   *   -----         |                   ,  0.00,  4.08
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.27,  0.65,   *  ------         |                   ,  0.00,  4.84
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.28,  0.72,   *   -----         |                   ,  0.00,  4.85
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.29,  0.49,   * --------        |                   ,  0.00,  3.76
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.30,  0.57,   *  -------        |                   ,  0.00,  4.23
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.34,  0.53, - *  ------         |                   ,  0.00,  4.12
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.35,  0.58, - *  -------        |                   ,  0.00,  4.14
