		 data/config/SS-N.csv 		
#
 0, st:0.25_m:0_rows:53662_x17_how:k3,  0.12,  0.36, *-                  |                   ,  0.00,  4.07
 0, st:0.5_m:0_rows:53662_x17_how:k3,  0.14,  0.39, *--                 |                   ,  0.00,  2.97
 0, st:0.25_m:0_rows:53662_x17_how:k5,  0.20,  0.34, *--                 |                   ,  0.00,  6.90
 0, st:0.5_m:100_rows:53662_x17_how:k3,  0.21,  0.35, *---                |                   ,  0.00,  3.94
#
 1, st:0.5_m:0_rows:53662_x17_how:k5,  0.24,  0.42, * --                |                   ,  0.00,  3.49
 1, st:0.5_m:100_rows:53662_x17_how:k5,  0.25,  0.39, *---                |                   ,  0.00,  5.33
 1, st:0.5_m:50_rows:53662_x17_how:k3,  0.28,  0.43,  *--                |                   ,  0.00, 10.20
 1, st:0.25_m:100_rows:53662_x17_how:k3,  0.29,  0.46,  *---               |                   ,  0.00,  4.17
 1, st:0.5_m:50_rows:53662_x17_how:k5,  0.29,  0.48,  *--                |                   ,  0.00,  4.33
#
 2, st:0.5_m:100_rows:53662_x17_how:k2,  0.33,  0.57,  *---               |                   ,  0.00,  7.72
 2, st:0.25_m:100_rows:53662_x17_how:k5,  0.33,  0.45,  *--                |                   ,  0.00,  5.13
 2, st:0.25_m:50_rows:53662_x17_how:k2,  0.34,  0.67,  * --               |                   ,  0.00,  4.81
 2, st:0.25_m:50_rows:53662_x17_how:k3,  0.35,  0.46,  *--                |                   ,  0.00,  4.11
 2, st:0.5_m:50_rows:53662_x17_how:k2,  0.36,  0.67,  * ---              |                   ,  0.00,  5.43
 2, st:0.25_m:100_rows:53662_x17_how:k2,  0.37,  0.65,  * --               |                   ,  0.00,  4.84
 2, st:0.25_m:50_rows:53662_x17_how:k5,  0.38,  0.49,  *--                |                   ,  0.00,  5.14
 2, st:0.5_m:0_rows:53662_x17_how:avearge,  0.44,  0.49,  *--                |                   ,  0.00,  3.91
 2, st:0.25_m:50_rows:53662_x17_how:avearge,  0.44,  0.55,  * --               |                   ,  0.00,  5.67
 2, st:0.5_m:0_rows:53662_x17_how:k2,  0.46,  1.09,  *  --              |                   ,  0.00,  3.83
 2, st:0.25_m:0_rows:53662_x17_how:k2,  0.48,  1.08,  *  --              |                   ,  0.00,  9.14
 2, st:0.25_m:100_rows:53662_x17_how:avearge,  0.48,  0.56, -* --               |                   ,  0.00,  4.74
 2, st:0.5_m:100_rows:53662_x17_how:avearge,  0.49,  0.49, -* -                |                   ,  0.00,  4.46
 2, st:0.5_m:50_rows:53662_x17_how:avearge,  0.51,  0.57, -* -                |                   ,  0.00,  4.14
 2, st:0.25_m:0_rows:53662_x17_how:avearge,  0.53,  0.56,   *-                |                   ,  0.00,  8.83
