		 data/process/pom3d.csv 		
#
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.50,  0.56,  *--                |                   ,  0.00, 10.73
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.52,  0.58,  *---               |                   ,  0.00,  4.46
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.52,  0.59,  *--                |                   ,  0.00,  2.81
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.53,  0.61, -* --               |                   ,  0.00, 11.59
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.55,  0.56,  *--                |                   ,  0.00,  2.88
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.55,  0.62, -* --               |                   ,  0.00,  6.71
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.56,  0.54, -*--                |                   ,  0.00, 11.33
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.56,  0.64,  * ---              |                   ,  0.00,  3.34
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.56,  0.56, -*---               |                   ,  0.00,  3.89
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.57,  0.66,  * --               |                   ,  0.00, 10.53
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.58,  0.59, -* -                |                   ,  0.00,  4.79
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.58,  0.60, -* --               |                   ,  0.00, 10.90
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.59,  0.61, -* --               |                   ,  0.00, 11.40
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.59,  0.58, -* --               |                   ,  0.00,  3.99
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.60,  0.67, - *---              |                   ,  0.00,  4.76
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.61,  0.61, - *---              |                   ,  0.00,  4.08
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.62,  0.66, - *---              |                   ,  0.00, 11.56
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.63,  0.67, - *---              |                   ,  0.00,  4.67
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.65,  0.73, - *--               |                   ,  0.00,  3.66
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.68,  0.64, - *-                |                   ,  0.00, 11.97
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.69,  0.62, - *-                |                   ,  0.00,  3.53
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.69,  0.69, - *--               |                   ,  0.00, 11.10
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.70,  0.65, - *-                |                   ,  0.00, 11.81
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.72,  0.66, - *-                |                   ,  0.00, 11.27
