		 data/misc/sol-6d-c2-obj1.csv 		
#
 0, st:0.5_m:0_rows:2866_x6_how:k3,  0.06,  0.19, *------             |                   ,  0.00,  1.96
 0, st:0.25_m:0_rows:2866_x6_how:k2,  0.06,  0.27, * ------            |                   ,  0.00,  2.83
 0, st:0.5_m:0_rows:2866_x6_how:k5,  0.06,  0.26, * ------            |                   ,  0.00,  3.40
 0, st:0.25_m:0_rows:2866_x6_how:k5,  0.07,  0.30, *  -----            |                   ,  0.00,  3.05
 0, st:0.5_m:0_rows:2866_x6_how:k2,  0.07,  0.30, *  ----             |                   ,  0.00,  3.16
 0, st:0.25_m:0_rows:2866_x6_how:k3,  0.09,  0.30, *  ------           |                   ,  0.00,  3.81
 0, st:0.5_m:100_rows:2866_x6_how:k3,  0.16,  0.53,  *   -----          |                   ,  0.00,  4.11
#
 1, st:0.5_m:100_rows:2866_x6_how:k5,  0.24,  0.55,   *  ------         |                   ,  0.00,  2.73
 1, st:0.5_m:50_rows:2866_x6_how:k5,  0.25,  0.63,   *   ------        |                   ,  0.00,  2.97
 1, st:0.25_m:100_rows:2866_x6_how:k2,  0.26,  0.69,   *    ------       |                   ,  0.00,  2.99
#
 2, st:0.5_m:50_rows:2866_x6_how:k3,  0.29,  0.68,   *    -----        |                   ,  0.00,  3.97
 2, st:0.25_m:100_rows:2866_x6_how:k5,  0.29,  0.70,   *    -----        |                   ,  0.00,  2.43
 2, st:0.5_m:50_rows:2866_x6_how:k2,  0.29,  0.72,   *    ------       |                   ,  0.00,  2.76
 2, st:0.25_m:100_rows:2866_x6_how:k3,  0.31,  0.65,   *   ------        |                   ,  0.00,  3.91
 2, st:0.5_m:100_rows:2866_x6_how:k2,  0.31,  0.71,    *   -----        |                   ,  0.00,  3.88
 2, st:0.25_m:50_rows:2866_x6_how:k2,  0.33,  0.65,    *  --------      |                   ,  0.00,  3.73
 2, st:0.25_m:50_rows:2866_x6_how:k3,  0.42,  0.70, -   *   ----        |                   ,  0.00,  2.68
#
 3, st:0.25_m:50_rows:2866_x6_how:k5,  0.51,  0.73, -   *   -----       |                   ,  0.00,  2.98
 3, st:0.25_m:100_rows:2866_x6_how:avearge,  0.57,  0.57, --   *  -----       |                   ,  0.00,  3.04
#
 4, st:0.25_m:0_rows:2866_x6_how:avearge,  0.63,  0.57, --    * ---         |                   ,  0.00,  2.85
 4, st:0.25_m:50_rows:2866_x6_how:avearge,  0.63,  0.66, ---   *  ----       |                   ,  0.00,  4.12
 4, st:0.5_m:100_rows:2866_x6_how:avearge,  0.68,  0.44,  ---  * -----       |                   ,  0.00,  3.26
 4, st:0.5_m:0_rows:2866_x6_how:avearge,  0.69,  0.60, ---   *  ----       |                   ,  0.00,  3.33
#
 5, st:0.5_m:50_rows:2866_x6_how:avearge,  0.81,  0.55,  ---   * ----       |                   ,  0.00,  3.64
