		 data/misc/wc+sol-3d-c4-obj1.csv 		
#
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.35,  0.64, -  *   -----        |                   ,  0.00,  3.72
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.37,  0.63, -  *   -----        |                   ,  0.00,  3.72
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.38,  0.62, -  *   -----        |                   ,  0.00,  3.72
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.42,  0.65, -   *   ----        |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.43,  0.64, --  *   -----       |                   ,  0.00,  3.66
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.44,  0.64, -   *   ----        |                   ,  0.00,  3.76
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.45,  0.65, --  *   -----       |                   ,  0.00,  3.76
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.47,  0.48, --  *  ------       |                   ,  0.00,  3.28
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.48,  0.67, --  *    -----      |                   ,  0.00,  3.76
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.48,  0.70, -   *   ----        |                   ,  0.00,  2.70
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.49,  0.74, --  *    ----       |                   ,  0.00,  3.83
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.49,  0.58, --  *   -------     |                   ,  0.00,  3.66
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.51,  0.49,  -   * -------      |                   ,  0.00,  4.01
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.51,  0.57, --   *  -----       |                   ,  0.00,  3.96
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.52,  0.53, --   *  -----       |                   ,  0.00,  3.79
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.53,  0.74, --   *   ----       |                   ,  0.00,  3.71
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.54,  0.73, --   *   ---        |                   ,  0.00,  3.23
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.59,  0.64, --   *   ----       |                   ,  0.00,  3.63
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.60,  0.68, --    *  ----       |                   ,  0.00,  3.86
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.61,  0.72, --    *   -----     |                   ,  0.00,  3.86
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.69,  0.60, ---   *  ---        |                   ,  0.00,  2.49
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.73,  0.66, --     * ---        |                   ,  0.00,  2.51
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.74,  0.59, ---    * ---        |                   ,  0.00,  2.84
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.75,  0.56,  --    * ---        |                   ,  0.00,  2.24
