		 data/misc/HSMGP_num.csv 		
#
 0, st:0.5_m:0_rows:3456_x14_how:k2,  0.02,  0.03, *                   |                   ,  0.00,  1.96
 0, st:0.25_m:0_rows:3456_x14_how:k2,  0.02,  0.03, *                   |                   ,  0.00,  1.93
 0, st:0.25_m:0_rows:3456_x14_how:k3,  0.02,  0.03, *                   |                   ,  0.00,  0.87
 0, st:0.25_m:0_rows:3456_x14_how:k5,  0.02,  0.03, *                   |                   ,  0.00,  1.15
 0, st:0.5_m:0_rows:3456_x14_how:k3,  0.02,  0.03, *                   |                   ,  0.00,  0.64
 0, st:0.5_m:0_rows:3456_x14_how:k5,  0.02,  0.02, *                   |                   ,  0.00,  0.73
 0, st:0.5_m:100_rows:3456_x14_how:k2,  0.04,  0.04, *-                  |                   ,  0.00,  1.86
 0, st:0.5_m:100_rows:3456_x14_how:k3,  0.04,  0.04, *                   |                   ,  0.00,  1.74
 0, st:0.25_m:100_rows:3456_x14_how:k5,  0.04,  0.04, *-                  |                   ,  0.00,  3.29
 0, st:0.25_m:100_rows:3456_x14_how:k2,  0.04,  0.04, *-                  |                   ,  0.00,  3.53
 0, st:0.5_m:50_rows:3456_x14_how:k3,  0.04,  0.05, *-                  |                   ,  0.00,  3.77
 0, st:0.5_m:50_rows:3456_x14_how:k2,  0.04,  0.06, *--                 |                   ,  0.00,  2.23
 0, st:0.25_m:100_rows:3456_x14_how:k3,  0.04,  0.05, *-                  |                   ,  0.00,  2.66
 0, st:0.5_m:100_rows:3456_x14_how:k5,  0.04,  0.05, *-                  |                   ,  0.00,  1.63
 0, st:0.25_m:50_rows:3456_x14_how:k5,  0.04,  0.05, *-                  |                   ,  0.00,  1.94
 0, st:0.25_m:50_rows:3456_x14_how:k3,  0.04,  0.05, *                   |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:3456_x14_how:avearge,  0.04,  0.05, *--                 |                   ,  0.00,  1.64
 0, st:0.5_m:50_rows:3456_x14_how:k5,  0.04,  0.06, *--                 |                   ,  0.00,  2.09
 0, st:0.25_m:50_rows:3456_x14_how:k2,  0.04,  0.06, *-                  |                   ,  0.00,  2.72
 0, st:0.25_m:0_rows:3456_x14_how:avearge,  0.05,  0.05, *-                  |                   ,  0.00,  1.51
 0, st:0.25_m:100_rows:3456_x14_how:avearge,  0.07,  0.07, *--                 |                   ,  0.00,  4.56
 0, st:0.5_m:100_rows:3456_x14_how:avearge,  0.07,  0.08, *---                |                   ,  0.00,  2.39
 0, st:0.5_m:50_rows:3456_x14_how:avearge,  0.09,  0.09, *-----              |                   ,  0.00,  3.92
 0, st:0.25_m:50_rows:3456_x14_how:avearge,  0.10,  0.11, *-----              |                   ,  0.00,  2.85
