		 data/config/SQL_AllMeasurements.csv 		
#
 0, st:0.25_m:0_rows:4653_x38_how:k3,  0.49,  0.61, --   *  --------    |                   ,  0.00,  3.30
 0, st:0.5_m:0_rows:4653_x38_how:k2,  0.49,  0.62, --   *   --------   |                   ,  0.00,  3.50
 0, st:0.25_m:0_rows:4653_x38_how:avearge,  0.50,  0.59, ---  *   ------     |                   ,  0.00,  3.14
 0, st:0.25_m:0_rows:4653_x38_how:k5,  0.53,  0.57,  -   *  --------    |                   ,  0.00,  2.83
 0, st:0.25_m:100_rows:4653_x38_how:k3,  0.54,  0.55, ---  *  -------     |                   ,  0.00,  3.14
 0, st:0.5_m:50_rows:4653_x38_how:k2,  0.54,  0.52, ---  *  --------    |                   ,  0.00,  3.63
 0, st:0.25_m:50_rows:4653_x38_how:k5,  0.56,  0.58,  --  *   ------     |                   ,  0.00,  2.46
 0, st:0.25_m:100_rows:4653_x38_how:k2,  0.56,  0.62,  --  *   -------    |                   ,  0.00,  3.16
 0, st:0.5_m:0_rows:4653_x38_how:k3,  0.56,  0.62,  --  *   --------   |                   ,  0.00,  3.39
 0, st:0.5_m:0_rows:4653_x38_how:avearge,  0.56,  0.65,  --  *   -------    |                   ,  0.00,  3.21
 0, st:0.5_m:100_rows:4653_x38_how:k5,  0.57,  0.56,  --  *   ------     |                   ,  0.00,  3.12
 0, st:0.25_m:50_rows:4653_x38_how:k3,  0.58,  0.67, ---   *   --------  |                   ,  0.00,  3.84
 0, st:0.5_m:0_rows:4653_x38_how:k5,  0.59,  0.63,  --   *  -------    |                   ,  0.00,  3.44
 0, st:0.25_m:100_rows:4653_x38_how:k5,  0.59,  0.61,  --   *  ------     |                   ,  0.00,  2.97
 0, st:0.5_m:50_rows:4653_x38_how:k5,  0.59,  0.65,  --   *  -------    |                   ,  0.00,  3.54
 0, st:0.5_m:100_rows:4653_x38_how:k2,  0.59,  0.57,  --   *  -------    |                   ,  0.00,  3.42
 0, st:0.5_m:100_rows:4653_x38_how:k3,  0.59,  0.68,  --   *   -------   |                   ,  0.00,  3.46
 0, st:0.25_m:0_rows:4653_x38_how:k2,  0.59,  0.64,  --   *   -------   |                   ,  0.00,  3.52
 0, st:0.5_m:50_rows:4653_x38_how:k3,  0.60,  0.57,  --   *  -------    |                   ,  0.00,  2.90
 0, st:0.25_m:50_rows:4653_x38_how:avearge,  0.60,  0.64,  --   *   -------   |                   ,  0.00,  2.95
 0, st:0.25_m:100_rows:4653_x38_how:avearge,  0.60,  0.65, ---   *   ------    |                   ,  0.00,  2.73
 0, st:0.25_m:50_rows:4653_x38_how:k2,  0.62,  0.58,  --   *  --------   |                   ,  0.01,  3.40
 0, st:0.5_m:100_rows:4653_x38_how:avearge,  0.68,  0.62,  ---   *  -------   |                   ,  0.01,  2.96
 0, st:0.5_m:50_rows:4653_x38_how:avearge,  0.73,  0.63,  ---   *  -------   |                   ,  0.01,  3.35
