		 data/config/SS-E.csv 		
#
 0, st:0.25_m:100_rows:756_x3_how:k2,  0.07,  0.86, *   --              |                   ,  0.00,  3.03
 0, st:0.5_m:100_rows:756_x3_how:k2,  0.08,  0.49, * ----              |                   ,  0.00,  2.41
 0, st:0.25_m:100_rows:756_x3_how:k5,  0.08,  0.73, *  ----             |                   ,  0.00,  3.31
 0, st:0.25_m:0_rows:756_x3_how:k2,  0.09,  0.50, * ----              |                   ,  0.00,  2.49
 0, st:0.25_m:50_rows:756_x3_how:k3,  0.09,  0.64, *  ----             |                   ,  0.00,  6.88
 0, st:0.5_m:0_rows:756_x3_how:k3,  0.09,  0.95, *    --             |                   ,  0.00,  3.81
 0, st:0.5_m:0_rows:756_x3_how:k2,  0.10,  0.67, *  ---              |                   ,  0.00,  5.74
 0, st:0.5_m:100_rows:756_x3_how:k3,  0.10,  0.69, *  ----             |                   ,  0.00,  5.11
 0, st:0.5_m:50_rows:756_x3_how:k2,  0.10,  0.71, *  ----             |                   ,  0.00,  4.93
 0, st:0.25_m:0_rows:756_x3_how:k5,  0.10,  0.95, *    --             |                   ,  0.00,  3.01
 0, st:0.25_m:50_rows:756_x3_how:k2,  0.11,  0.69, *  ----             |                   ,  0.00,  7.60
 0, st:0.25_m:100_rows:756_x3_how:k3,  0.11,  0.59, *  ----             |                   ,  0.00,  3.06
 0, st:0.5_m:100_rows:756_x3_how:k5,  0.11,  0.78, *   ----            |                   ,  0.00,  3.78
 0, st:0.25_m:0_rows:756_x3_how:k3,  0.11,  0.97, *    --             |                   ,  0.00,  2.16
 0, st:0.5_m:0_rows:756_x3_how:k5,  0.11,  1.09, *    --             |                   ,  0.00,  2.84
 0, st:0.25_m:50_rows:756_x3_how:k5,  0.12,  0.88, *   -----           |                   ,  0.00,  3.50
 0, st:0.5_m:50_rows:756_x3_how:k3,  0.12,  0.78, *   ----            |                   ,  0.00,  3.19
 0, st:0.5_m:50_rows:756_x3_how:k5,  0.12,  0.83, *   -----           |                   ,  0.00,  4.80
 0, st:0.25_m:100_rows:756_x3_how:avearge,  0.20,  0.65,  * -----            |                   ,  0.00,  5.19
 0, st:0.25_m:0_rows:756_x3_how:avearge,  0.20,  0.65,  * ---              |                   ,  0.00,  4.70
 0, st:0.5_m:0_rows:756_x3_how:avearge,  0.23,  0.61,  * ---              |                   ,  0.00,  7.51
 0, st:0.5_m:100_rows:756_x3_how:avearge,  0.25,  0.73,  *  ----            |                   ,  0.00,  4.79
 0, st:0.5_m:50_rows:756_x3_how:avearge,  0.26,  0.60,  * ----             |                   ,  0.00,  6.28
 0, st:0.25_m:50_rows:756_x3_how:avearge,  0.26,  0.65,  * -----            |                   ,  0.00,  3.64
