		 data/config/SS-F.csv 		
#
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.12,  0.44,  *  --------        |                   ,  0.00,  3.45
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.13,  0.42,  *  --------        |                   ,  0.00,  3.40
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.13,  0.44,  *  --------        |                   ,  0.00,  3.28
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.13,  0.54,  *   ---------      |                   ,  0.00,  3.55
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.13,  0.46,  *  ---------       |                   ,  0.00,  3.40
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.13,  0.53,  *   ------         |                   ,  0.00,  2.97
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.14,  0.55,  *   -------        |                   ,  0.00,  3.85
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.14,  0.64,  *    -------       |                   ,  0.00,  3.17
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.15,  0.53,  *   -------        |                   ,  0.00,  3.85
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.15,  0.48,  *   -------        |                   ,  0.00,  3.17
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.16,  0.51,  *   --------       |                   ,  0.00,  3.33
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.16,  0.55,  *   --------       |                   ,  0.00,  3.85
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.16,  0.65,  *    ------        |                   ,  0.00,  3.31
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.16,  0.58,  *    -------       |                   ,  0.00,  3.13
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.17,  0.53,  *   ------         |                   ,  0.00,  3.20
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.19,  0.57,  *    --------      |                   ,  0.00,  3.55
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.20,  0.65,   *   -------       |                   ,  0.00,  3.92
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.21,  0.67,   *    -------      |                   ,  0.00,  3.68
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.21,  0.73,   *    ------       |                   ,  0.00,  3.22
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.24,  0.56,   *   --------      |                   ,  0.00,  3.14
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.25,  0.75,   *    ------       |                   ,  0.00,  3.26
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.29,  0.55,   *   -------       |                   ,  0.00,  3.31
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.31,  0.40, -  * --------       |                   ,  0.00,  3.12
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.34,  0.44, -  *  --------      |                   ,  0.00,  3.34
