		 data/config/SS-R.csv 		
#
 0, st:0.5_m:0_rows:3008_x14_how:k2,  0.05,  0.30, *   -------------   |                   ,  0.00,  2.36
 0, st:0.25_m:0_rows:3008_x14_how:k2,  0.05,  0.26, *  -------------    |                   ,  0.00,  2.29
 0, st:0.5_m:100_rows:3008_x14_how:k2,  0.06,  0.21, * -------------     |                   ,  0.00,  2.36
 0, st:0.5_m:0_rows:3008_x14_how:k3,  0.06,  0.20, * ---------------   |                   ,  0.00,  2.46
 0, st:0.25_m:100_rows:3008_x14_how:k2,  0.06,  0.24, *  ---------------  |                   ,  0.00,  2.40
 0, st:0.5_m:0_rows:3008_x14_how:k5,  0.07,  0.28, *  -------------    |                   ,  0.00,  2.22
 0, st:0.25_m:0_rows:3008_x14_how:k5,  0.07,  0.34, *   -----------     |                   ,  0.00,  2.28
 0, st:0.25_m:100_rows:3008_x14_how:k3,  0.07,  0.28, *  --------------   |                   ,  0.00,  2.63
 0, st:0.25_m:0_rows:3008_x14_how:k3,  0.08,  0.33, *   -------------   |                   ,  0.00,  2.37
 0, st:0.5_m:50_rows:3008_x14_how:k2,  0.08,  0.39,  *   ------------   |                   ,  0.00,  2.86
 0, st:0.25_m:50_rows:3008_x14_how:k3,  0.09,  0.32,  *  -----------     |                   ,  0.00,  2.18
 0, st:0.25_m:50_rows:3008_x14_how:k2,  0.09,  0.42,  *   ------------   |                   ,  0.00,  3.06
 0, st:0.5_m:100_rows:3008_x14_how:k3,  0.10,  0.40,  *   ------------   |                   ,  0.00,  2.55
 0, st:0.25_m:100_rows:3008_x14_how:k5,  0.12,  0.36,  *   ---------      |                   ,  0.00,  2.46
 0, st:0.5_m:50_rows:3008_x14_how:k5,  0.13,  0.43,  *    ----------    |                   ,  0.00,  2.28
 0, st:0.5_m:100_rows:3008_x14_how:k5,  0.14,  0.43,  *    -----------   |                   ,  0.00,  2.34
 0, st:0.5_m:50_rows:3008_x14_how:k3,  0.14,  0.42,  *    ----------    |                   ,  0.00,  2.35
 0, st:0.25_m:50_rows:3008_x14_how:k5,  0.19,  0.40,   *  ---------      |                   ,  0.00,  2.78
#
 1, st:0.25_m:0_rows:3008_x14_how:avearge,  0.25,  0.47, -  *   -------      |                   ,  0.00,  2.10
 1, st:0.5_m:0_rows:3008_x14_how:avearge,  0.25,  0.43, -  *  --------      |                   ,  0.00,  2.29
 1, st:0.5_m:100_rows:3008_x14_how:avearge,  0.30,  0.50, -  *    --------    |                   ,  0.00,  2.34
 1, st:0.25_m:50_rows:3008_x14_how:avearge,  0.34,  0.51, --  *   --------    |                   ,  0.00,  2.49
 1, st:0.5_m:50_rows:3008_x14_how:avearge,  0.40,  0.54, --   *   -------    |                   ,  0.00,  2.63
 1, st:0.25_m:100_rows:3008_x14_how:avearge,  0.40,  0.57, --   *   -------    |                   ,  0.00,  2.47
