		 data/config/SS-B.csv 		
#
 0, st:0.25_m:0_rows:206_x3_how:k2,  0.12,  0.20,  * ---              |                   ,  0.00,  2.28
 0, st:0.5_m:0_rows:206_x3_how:k5,  0.13,  0.20,  * ---              |                   ,  0.00,  1.33
 0, st:0.25_m:0_rows:206_x3_how:k3,  0.14,  0.22,  * ---              |                   ,  0.00,  1.30
 0, st:0.5_m:0_rows:206_x3_how:k3,  0.15,  0.20,  * ---              |                   ,  0.00,  1.43
 0, st:0.25_m:0_rows:206_x3_how:k5,  0.15,  0.20,  * ---              |                   ,  0.00,  2.54
 0, st:0.5_m:0_rows:206_x3_how:k2,  0.16,  0.23,  * ---              |                   ,  0.00,  1.73
#
 1, st:0.25_m:100_rows:206_x3_how:k2,  0.19,  0.32, - *  -              |                   ,  0.00,  1.81
 1, st:0.5_m:50_rows:206_x3_how:k5,  0.19,  0.28, - * --              |                   ,  0.00,  1.34
 1, st:0.25_m:100_rows:206_x3_how:k3,  0.20,  0.32, - *  -              |                   ,  0.00,  1.46
 1, st:0.25_m:50_rows:206_x3_how:k3,  0.20,  0.29, - * ---             |                   ,  0.00,  1.87
 1, st:0.25_m:100_rows:206_x3_how:k5,  0.20,  0.31, - * --              |                   ,  0.00,  1.81
 1, st:0.25_m:50_rows:206_x3_how:k5,  0.20,  0.25, - * --              |                   ,  0.00,  2.22
 1, st:0.5_m:100_rows:206_x3_how:k3,  0.21,  0.31, - *  -              |                   ,  0.00,  1.80
 1, st:0.25_m:50_rows:206_x3_how:k2,  0.21,  0.32, - * --              |                   ,  0.00,  2.30
 1, st:0.5_m:100_rows:206_x3_how:k5,  0.22,  0.33, - *  ---            |                   ,  0.00,  1.91
 1, st:0.5_m:50_rows:206_x3_how:k3,  0.22,  0.32, - *  --             |                   ,  0.00,  1.51
 1, st:0.5_m:100_rows:206_x3_how:k2,  0.23,  0.33, - *  ---            |                   ,  0.00,  2.61
 1, st:0.5_m:50_rows:206_x3_how:k2,  0.23,  0.30, - *  -              |                   ,  0.00,  2.72
 1, st:0.5_m:50_rows:206_x3_how:avearge,  0.26,  0.29, -  * -----          |                   ,  0.00,  2.59
 1, st:0.25_m:100_rows:206_x3_how:avearge,  0.26,  0.29, -  * ---            |                   ,  0.00,  3.30
 1, st:0.5_m:100_rows:206_x3_how:avearge,  0.28,  0.30, -  * ----           |                   ,  0.00,  2.65
 1, st:0.25_m:50_rows:206_x3_how:avearge,  0.31,  0.34, -- *  ----          |                   ,  0.00,  2.36
 1, st:0.5_m:0_rows:206_x3_how:avearge,  0.36,  0.34, --  * ----          |                   ,  0.00,  2.42
 1, st:0.25_m:0_rows:206_x3_how:avearge,  0.36,  0.37, --  * -----         |                   ,  0.00,  2.13
