		 data/config/SS-C.csv 		
#
 0, st:0.25_m:0_rows:1512_x3_how:k3,  0.02,  0.09, *--                 |                   ,  0.00,  1.68
 0, st:0.25_m:100_rows:1512_x3_how:k3,  0.02,  0.12, *---                |                   ,  0.00,  2.17
 0, st:0.5_m:100_rows:1512_x3_how:k3,  0.02,  0.14, *----               |                   ,  0.00,  3.57
 0, st:0.5_m:0_rows:1512_x3_how:k5,  0.03,  0.11, *--                 |                   ,  0.00,  2.15
 0, st:0.5_m:0_rows:1512_x3_how:k2,  0.03,  0.11, *---                |                   ,  0.00,  2.86
 0, st:0.25_m:100_rows:1512_x3_how:k2,  0.03,  0.14, *-----              |                   ,  0.00,  2.99
 0, st:0.25_m:0_rows:1512_x3_how:k5,  0.03,  0.16, *--                 |                   ,  0.00,  1.99
 0, st:0.5_m:100_rows:1512_x3_how:k2,  0.03,  0.14, *-----              |                   ,  0.00,  2.70
 0, st:0.25_m:0_rows:1512_x3_how:k2,  0.03,  0.10, *--                 |                   ,  0.00,  2.88
 0, st:0.5_m:0_rows:1512_x3_how:k3,  0.03,  0.10, *--                 |                   ,  0.00,  2.82
 0, st:0.25_m:50_rows:1512_x3_how:k3,  0.04,  0.22, *-----              |                   ,  0.00,  2.35
 0, st:0.5_m:100_rows:1512_x3_how:k5,  0.04,  0.15, *-----              |                   ,  0.00,  2.76
 0, st:0.25_m:50_rows:1512_x3_how:k2,  0.05,  0.18, *-----              |                   ,  0.00,  2.48
 0, st:0.25_m:100_rows:1512_x3_how:k5,  0.05,  0.19, *-----              |                   ,  0.00,  2.64
 0, st:0.25_m:50_rows:1512_x3_how:k5,  0.05,  0.22, * ----              |                   ,  0.00,  2.27
 0, st:0.5_m:50_rows:1512_x3_how:k2,  0.05,  0.17, *-----              |                   ,  0.00,  2.86
 0, st:0.5_m:50_rows:1512_x3_how:k5,  0.06,  0.21, *-----              |                   ,  0.00,  2.56
 0, st:0.5_m:50_rows:1512_x3_how:k3,  0.06,  0.24, * -----             |                   ,  0.00,  2.61
 0, st:0.5_m:100_rows:1512_x3_how:avearge,  0.07,  0.39, *  ----             |                   ,  0.00,  2.68
#
 1, st:0.25_m:0_rows:1512_x3_how:avearge,  0.11,  0.42, *  ---              |                   ,  0.00,  2.82
 1, st:0.5_m:0_rows:1512_x3_how:avearge,  0.11,  0.42, *  ---              |                   ,  0.00,  2.35
 1, st:0.25_m:100_rows:1512_x3_how:avearge,  0.12,  0.40,  * -----            |                   ,  0.00,  2.56
 1, st:0.25_m:50_rows:1512_x3_how:avearge,  0.13,  0.49,  *  ------          |                   ,  0.00,  4.59
 1, st:0.5_m:50_rows:1512_x3_how:avearge,  0.13,  0.49,  *  -----           |                   ,  0.00,  2.85
