		 data/config/SS-J.csv 		
#
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.04,  0.17, *----               |                   ,  0.00,  4.70
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.04,  0.21, *----               |                   ,  0.00,  3.83
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.04,  0.19, *------             |                   ,  0.00,  4.87
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.04,  0.20, *----               |                   ,  0.00,  4.07
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.05,  0.21, *-----              |                   ,  0.00,  3.63
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.05,  0.23, *------             |                   ,  0.00,  5.00
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.05,  0.24, *-----              |                   ,  0.00,  4.76
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.05,  0.24, *--------           |                   ,  0.00,  5.22
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.06,  0.31, * ------            |                   ,  0.00,  3.90
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.06,  0.23, *-----              |                   ,  0.00,  4.65
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.06,  0.22, *-----              |                   ,  0.00,  4.73
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.06,  0.24, *------             |                   ,  0.00,  4.35
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.07,  0.23, *-------            |                   ,  0.00,  4.40
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.07,  0.24, *-----              |                   ,  0.00,  3.82
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.08,  0.32, * ---------         |                   ,  0.00,  4.38
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.08,  0.25, * ----              |                   ,  0.00,  3.27
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.09,  0.27, * -----             |                   ,  0.00,  3.98
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.09,  0.34, * -------           |                   ,  0.00,  4.00
#
 1, st:0.25_m:0_rows:3840_x6_how:avearge,  0.17,  0.39,  * -----            |                   ,  0.00,  3.64
 1, st:0.5_m:0_rows:3840_x6_how:avearge,  0.17,  0.47,  * ------           |                   ,  0.00,  4.38
 1, st:0.25_m:100_rows:3840_x6_how:avearge,  0.20,  0.37,  * -----            |                   ,  0.00,  4.27
 1, st:0.5_m:50_rows:3840_x6_how:avearge,  0.24,  0.44,  * -------          |                   ,  0.00,  4.58
 1, st:0.5_m:100_rows:3840_x6_how:avearge,  0.26,  0.59,  *  -------         |                   ,  0.00,  4.27
 1, st:0.25_m:50_rows:3840_x6_how:avearge,  0.33,  0.55,   * ------          |                   ,  0.00,  4.22
