		 data/process/pom3c.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.57,  0.63,  --  *  -------     |                   ,  0.00,  3.06
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.58,  0.67, ---  *   -------    |                   ,  0.00,  3.26
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.59,  0.65, --   *  ------      |                   ,  0.00,  2.80
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.61,  0.60, --   *  ------      |                   ,  0.00,  2.84
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.61,  0.70, ---  *   ------     |                   ,  0.00,  3.20
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.63,  0.76, ---  *    -------   |                   ,  0.00,  3.58
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.65,  0.67,  --  *   ------     |                   ,  0.00,  2.98
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.65,  0.70, ---   *  -------    |                   ,  0.00,  3.25
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.67,  0.74, ---   *  -------    |                   ,  0.00,  2.96
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.67,  0.75, ---   *   -------   |                   ,  0.00,  3.81
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.69,  0.77, ---   *   -------   |                   ,  0.00,  4.26
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.69,  0.87, ---   *    ------   |                   ,  0.00,  3.57
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.70,  0.68, ---   *   -------   |                   ,  0.00,  4.33
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.71,  0.73,  --   *   --------  |                   ,  0.00,  3.91
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.71,  0.66,  --   *  ------     |                   ,  0.00,  2.75
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.71,  0.75,  --   *   ----      |                   ,  0.00,  2.96
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.72,  0.70,  --   *   -----     |                   ,  0.00,  3.64
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.73,  0.73, ---   *   ------    |                   ,  0.00,  2.91
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.73,  0.77,  --   *   ------    |                   ,  0.00,  3.25
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.75,  0.59,  ---  *  -----      |                   ,  0.00,  3.11
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.76,  0.69,  ---  *   ------    |                   ,  0.00,  3.16
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.76,  0.68,  --    *  -------   |                   ,  0.00,  3.45
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.77,  0.77, ---    *  --------  |                   ,  0.00,  3.61
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.77,  0.79,  --    *  -------   |                   ,  0.00,  3.36
