		 data/misc/wc+rs-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.38,  0.62, -  *   -----        |                   ,  0.00,  3.27
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.40,  0.66, -  *    -----       |                   ,  0.00,  3.85
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.41,  0.62, -   *   -----       |                   ,  0.00,  3.70
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.42,  0.65, -   *   -----       |                   ,  0.00,  4.02
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.42,  0.66, -   *   -----       |                   ,  0.00,  3.93
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.43,  0.67, -   *   ----        |                   ,  0.00,  2.56
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.43,  0.65, --  *   -----       |                   ,  0.00,  3.85
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.44,  0.61, --  *   -----       |                   ,  0.00,  3.22
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.45,  0.53, --  *  -----        |                   ,  0.00,  2.56
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.47,  0.64, --  *   -----       |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.47,  0.64, --  *   ----        |                   ,  0.00,  2.62
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.50,  0.44,  -- *  ------       |                   ,  0.01,  2.71
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.50,  0.57, ---  *  ------      |                   ,  0.00,  3.30
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.51,  0.58, --   *  ------      |                   ,  0.00,  3.07
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.54,  0.63, --   *  -----       |                   ,  0.00,  3.89
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.54,  0.65, --   *  -----       |                   ,  0.00,  3.85
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.54,  0.68, -    *  -----       |                   ,  0.00,  3.00
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.55,  0.63, --   *  ----        |                   ,  0.00,  3.01
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.57,  0.73, --   *    ----      |                   ,  0.00,  2.89
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.61,  0.69, ---   *   ---       |                   ,  0.01,  3.27
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.62,  0.64, --    * -----       |                   ,  0.00,  2.60
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.62,  0.78, --    *   ----      |                   ,  0.00,  3.30
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.70,  0.56,  --   * ----        |                   ,  0.00,  2.61
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.72,  0.54,  --    *----        |                   ,  0.00,  2.44
